a	aː
abbadísin	a p a t iː s ɪ n
abbast	a p a s t
Adam	aː t a m
Adams	aː t a m s
Adda	a t a
Addi	a t ɪ
adolf	aː t ɔ l v
adolfs	aː t ɔ l s
adrenalínpenna	aː t r ɛ n a l i n pʰ ɛ n a
að	aː ð
aðal	aː ð a l
aðalatriði	aː ð a l a t r ɪ ð ɪ
aðalatriðið	aː ð a l a t r ɪ ð ɪ ð
aðalatriðum	aː ð a l a t r ɪ ð ʏ m
aðalástæðan	aː ð a l au s t ai ð a n
aðalbandinu	aː ð a l p a n t ɪ n ʏ
Aðalbjörg	aː ð a l p j œ r k
aðalbúðunum	aː ð a l p uː ð ɔ n ʏ m
aðalbyggingu	aː ð a l p ɪ c i ŋ k ʏ
aðalbyggingunni	aː ð a l p ɪ c i ŋ k ʏ n ɪ
aðaleigandi	aː ð a l eiː ɣ a n t ɪ
aðaleinkunn	aː ð a l ei ŋ̊ k ʏ n
aðalframkvæmdastjóri	aː ð a l f r a m k v ai m t a s t j ouː r ɪ
aðalfréttirnar	aː ð a l f r j ɛ h t ɪ t n a r
aðalfulltrúar	aː ð a l f ʏ t l̥ tʰ r u a r
aðalfund	aː ð a l f ʏ n t
aðalfundar	aː ð a l f ʏ n t a r
aðalfundardegi	aː ð a l f ʏ n t a r t ɛ j ɪ
aðalfundarstörf	aː ð a l f ʏ n t a r s t œ r v
aðalfundarstörfum	aː ð a l f ʏ n t a r s t œ r v ʏ m
aðalfundi	aː ð a l f ʏ n t ɪ
aðalfundinum	aː ð a l f ʏ n t ɪ n ʏ m
aðalfundur	aː ð a l f ʏ n t ʏ r
aðalfundurinn	aː ð a l f ʏ n t ʏ r ɪ n
aðalfylkingar	aː ð a l f ɪ l̥ c i ŋ k a r
aðalfyrirlesara	aː ð a l f ɪː r ɪ r l ɛ s a r a
aðalfyrirlesari	aː ð a l f ɪː r ɪ r l ɛ s a r ɪ
Aðalgötu	aː ð a l k œː t ʏ
aðalgötuna	aː ð a l k œː t ʏ n a
aðalgötunni	aː ð a l k œː t ʏ n ɪ
Aðalheiðar	aː ð a l h eiː ð a r
Aðalheiði	aː ð a l h eiː ð ɪ
Aðalheiður	aː ð a l h eiː ð ʏ r
aðalhlutverk	aː ð a l̥ ʏ t v ɛ r̥ k
aðalhlutverki	aː ð a l̥ ʏ t v ɛ r̥ c ɪ
aðalhlutverkið	aː ð a l̥ ʏ t v ɛ r̥ c ɪ ð
aðalhlutverkin	aː ð a l̥ ʏ t v ɛ r̥ c ɪ n
aðalhlutverkinu	aː ð a l̥ ʏ t v ɛ r̥ c ɪ n ʏ
aðalhlutverkum	aː ð a l̥ ʏ t v ɛ r̥ k ʏ m
aðalhönnuður	aː ð a l h œ n ʏ ð ʏ r
aðalinnganginum	aː ð a l ɪ ŋ k au ŋ c ɪ n ʏ m
aðaljárnbrautarstöðinni	aː ð a l j au t n p r œy t a r s t œː ð ɪ n ɪ
aðalkostur	aː ð a l kʰ ɔ s t ʏ r
aðalkvöldfréttatími	aː ð a l k v œ l t f r j ɛ h t a t iː m ɪ
aðallega	aː ð a l ɛ ɣ a
aðalleikendur	aː ð a l eiː k ɛ n t ʏ r
aðallista	aː ð a l ɪ s t a
aðalmarkmið	aː ð a l m a r̥ k m ɪ ð
aðalmálið	aː ð a l m auː l ɪ ð
aðalnámskrá	aː ð a l n au m s k r au
aðalnámskránni	aː ð a l n au m s k r au n ɪ
aðalnámskrár	aː ð a l n au m s k r au r
aðalorkan	aː ð a l ɔ r̥ k a n
aðalpersóna	aː ð a l p ɛ r̥ s ou n a
aðalpersónan	aː ð a l p ɛ r̥ s ou n a n
aðalpósthúsinu	aː ð a l p ou s t h u s ɪ n ʏ
aðalrétt	aː ð a l r j ɛ h t
aðalréttinum	aː ð a l r j ɛ h t ɪ n ʏ m
aðalrétturinn	aː ð a l r j ɛ h t ʏ r ɪ n
aðalritstjóra	aː ð a l r ɪː t s t j ou r a
aðalritstjórann	aː ð a l r ɪː t s t j ou r a n
aðalritstjórans	aː ð a l r ɪː t s t j ou r a n s
aðalsafn	aː ð a l s a p n̥
aðalsafnaðarfundur	aː ð a l s a p n a ð a r f ʏ n t ʏ r
aðalsafninu	aː ð a l s a p n ɪ n ʏ
aðalsafnsins	aː ð a l s a p s ɪ n s
aðalsagnarinnar	aː ð a l s a k n a r ɪ n a r
aðalsal	aː ð a l s aː l
aðalsalnum	aː ð a l s a l n ʏ m
aðalskipulag	aː ð a l s c ɪ p ʏ l a ɣ
aðalskipulagi	aː ð a l s c ɪː p ʏ l aiː j ɪ
aðalskipulaginu	aː ð a l s c ɪː p ʏ l aiː j ɪ n ʏ
aðalskipulags	aː ð a l s c ɪ p ʏ l a x s
aðalskipulagsskyldra	aː ð a l s c ɪ p ʏ l a x s c ɪ l t r a
aðalsmaður	aː ð a l s m aː ð ʏ r
aðalsmerki	aː ð a l s m ɛ r̥ c ɪ
aðalstarf	aː ð a l s t a r v
aðalstarfi	aː ð a l s t a r v ɪ
Aðalstein	aː ð a l s t eiː n
Aðalsteini	aː ð a l s t eiː n ɪ
Aðalsteinn	aː ð a l s t ei t n̥
Aðalsteins	aː ð a l s t ei n s
Aðalsteinsdóttir	aː ð a l s t ei n s t ou h t ɪ r
Aðalsteinsdóttur	aː ð a l s t ei n s t ou h t ʏ r
Aðalsteinsson	aː ð a l s t ei n s ɔː n
Aðalsteinssonar	aː ð a l s t ei n s ɔː n a r
Aðalsteinssyni	aː ð a l s t ei n s ɪː n ɪ
aðalstjórn	aː ð a l s t j ou r t n̥
aðalstoð	aː ð a l s t ɔ ð
Aðalstræti	aː ð a l s t r aiː t ɪ
Aðalstrætis	aː ð a l s t r aiː t ɪ s
aðalstyrktaraðili	aː ð a l s t ɪ r̥ t a r a ð ɪ l ɪ
aðalstöðvar	aː ð a l s t œ ð v a r
aðalstöðvum	aː ð a l s t œ ð v ʏ m
aðalstöðvunum	aː ð a l s t œ ð v ɔ n ʏ m
aðalsættum	aː ð a l s ai h t ʏ m
aðaltekjulindir	aː ð a l tʰ ɛː c ʏ l ɪ n t ɪ r
aðaltorg	aː ð a l̥ t ɔ r k
aðaluppspretta	aː ð a l ʏ h p s p r ɛ h t a
aðalvandinn	aː ð a l v a n t ɪ n
aðalveginn	aː ð a l v eiː j ɪ n
aðalverka	aː ð a l v ɛ r̥ k a
aðalverki	aː ð a l v ɛ r̥ c ɪ
aðalverktaka	aː ð a l v ɛ r̥ k t a k a
aðalverktakar	aː ð a l v ɛ r̥ t a k a r
Aðalvík	aː ð a l v iː k
aðbúnað	a ð p u n a ð
aðbúnaði	a ð p u n a ð ɪ
aðbúnaður	a ð p u n a ð ʏ r
aðdáandi	a ð t au a n t ɪ
aðdáenda	a ð t au ɛ n t a
aðdáendaklúbbs	a ð t au ɛ n t a kʰ l u p s
aðdáendum	a ð t au ɛ n t ʏ m
aðdáendur	a ð t au ɛ n t ʏ r
aðdáun	a ð t au ʏ n
aðdáunar	a ð t au ʏ n a r
aðdáunaraugum	a ð t au ʏ n a r œyː ɣ ʏ m
aðdáunarverð	a ð t au ʏ n a r v ɛ r ð
aðdáunarverðar	a ð t au ʏ n a r v ɛ r ð a r
aðdáunarvert	a ð t au ʏ n a r v ɛ r̥ t
aðdáunin	a ð t au ʏ n ɪ n
aðdáunina	a ð t au ʏ n ɪ n a
aðdraganda	a ð t r a ɣ a n t a
aðdragandi	a ð t r a ɣ a n t ɪ
aðdráttarafl	a ð t r au h t a r a p l̥
aðdráttarlinsuna	a ð t r au h t a r l ɪ n s ʏ n a
aðdróttanir	a ð t r ou h t a n ɪ r
aðeins	aː ð ei n s
aðfangadag	a ð f au ŋ k a t aː ɣ
aðfangadagskvöld	a ð f au ŋ k a t a x s k v œ l t
aðfangadagur	a ð f au ŋ k a t aː ɣ ʏ r
aðfaranótt	a ð f a r a n ou h t
aðfarir	a ð f a r ɪ r
aðfarirnar	a ð f a r ɪ t n a r
aðferð	a ð f ɛ r ð
aðferða	a ð f ɛ r ð a
aðferðafræði	a ð f ɛ r ð a f r aiː ð ɪ
aðferðin	a ð f ɛ r ð ɪ n
aðferðina	a ð f ɛ r ð ɪ n a
aðferðinni	a ð f ɛ r ð ɪ n ɪ
aðferðir	a ð f ɛ r ð ɪ r
aðferðirnar	a ð f ɛ r ð ɪ t n a r
aðferðum	a ð f ɛ r ð ʏ m
aðfinnslur	a ð f ɪ n s t l ʏ r
aðflugsbúnað	a ð f l ʏ x s p uː n a ð
aðflugshallasendum	a ð f l ʏ x s h a t l a s ɛ n t ʏ m
